                  Words      Mean #Total #Positive #Neg   PosMean   NegMean
8                 paper -0.062448     29         2   27  0.230210 -0.084127
452            settings  0.062436      1         1    0  0.062436  0.000000
31              missing -0.062086      1         0    1  0.000000 -0.062086
32              product  0.062005      1         1    0  0.062005  0.000000
125       reinforcement  0.061942      1         1    0  0.061942  0.000000
450           encourage  0.061924      1         1    0  0.061924  0.000000
381          accuracies  0.061771      1         1    0  0.061771  0.000000
167                data  0.061395      1         1    0  0.061395  0.000000
118        optimization  0.061386      1         1    0  0.061386  0.000000
138            approach  0.060535      4         3    1  0.104407 -0.071081
412               claim -0.060316      1         0    1  0.000000 -0.060316
123               ready -0.060274      2         1    1  0.043550 -0.164099
205             labeled  0.060202      1         1    0  0.060202  0.000000
84                 lack -0.059880      2         0    2  0.000000 -0.059880
268                  we  0.059870      2         2    0  0.059870  0.000000
231               actor  0.059760      1         1    0  0.059760  0.000000
144             variant  0.059485      1         1    0  0.059485  0.000000
392             unclear -0.059453      1         0    1  0.000000 -0.059453
435             similar  0.059246      1         1    0  0.059246  0.000000
246             metrics -0.058849      1         0    1  0.000000 -0.058849
281               graph -0.058824      1         0    1  0.000000 -0.058824
355               under -0.058788      1         0    1  0.000000 -0.058788
215              follow -0.058527      1         0    1  0.000000 -0.058527
111                 see -0.058418      2         0    2  0.000000 -0.058418
405              defend  0.058291      1         1    0  0.058291  0.000000
258             segment  0.058280      1         1    0  0.058280  0.000000
382             private  0.058252      1         1    0  0.058252  0.000000
145         incremental  0.058241      1         1    0  0.058241  0.000000
41               enough  0.058233      3         2    1  0.103397 -0.032096
28             concerns -0.058220      3         0    3  0.000000 -0.058220
259               words  0.057875      1         1    0  0.057875  0.000000
146                were -0.057761      1         0    1  0.000000 -0.057761
70               helped  0.057604      1         1    0  0.057604  0.000000
47                   is -0.057598     20         5   15  0.059310 -0.096568
413           documents  0.057469      1         1    0  0.057469  0.000000
453           multiview  0.057435      1         1    0  0.057435  0.000000
102                this  0.057386     18        16    2  0.072440 -0.063046
168         formulating  0.057120      1         1    0  0.057120  0.000000
195               asset  0.057086      1         1    0  0.057086  0.000000
131            learning  0.056926      9         9    0  0.056926  0.000000
176             several  0.056844      2         2    0  0.056844  0.000000
94                model -0.056609      2         0    2  0.000000 -0.056609
60                 ness  0.056448      1         1    0  0.056448  0.000000
157              agrees  0.055446      1         1    0  0.055446  0.000000
169       demonstration  0.054985      1         1    0  0.054985  0.000000
232              making -0.054982      1         0    1  0.000000 -0.054982
263            received  0.054973      1         1    0  0.054973  0.000000
216               areas -0.054924      1         0    1  0.000000 -0.054924
196           Hopefully -0.054838      1         0    1  0.000000 -0.054838
126                find -0.054627      1         0    1  0.000000 -0.054627
110               class  0.054580      1         1    0  0.054580  0.000000
454          posteriors  0.054485      1         1    0  0.054485  0.000000
